dataset,maxCPU,deltaCPU,maxAcc,deltaAcc,popularityTime,dataTier,sizeGb,age
/BprimeBprimeToTWTWinc_M-600_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,146,73,146,73,6,AODSIM,48,7
/BprimeBprimeToTWTWinc_M-850_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,210,51,210,51,4,AODSIM,46,7
/BprimeBprimeToTWTWinc_M-900_TuneZ2star_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,156,61,156,61,6,AODSIM,47,7
/BsToJPsiPhi_2K2MuPtEtaFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,1481,671,1481,671,25,AODSIM,573,84
/BsToJpsiPhiV2_BFilter_TuneZ2star_8TeV-pythia6-evtgen/Summer12_DR53X-PU_RD2_START53_V19F-v3/AODSIM,611,22,611,22,8,AODSIM,1144,7
/BsToKPi_EtaPtFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,49,39,49,39,3,AODSIM,492,0
/BsToMuMu_EtaPtFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,3884,3882,3884,3882,5,AODSIM,15097,0
/Bu2MuMuK_TuneZ2star_8TeV_Pythia6/Summer12_DR53X-PU_RD2_START53_V19F-v1/AODSIM,6057,3635,6057,3635,6,AODSIM,5224,49
/BuToJPsiK_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V19A-v1/AODSIM,15,2,15,2,4,AODSIM,50,49
/BuToJPsiK_K2MuFilter_7TeV-pythia6-evtgen/Fall11-HLTBPh2011_START44_V9B-v1/AODSIM,245,216,245,216,3,AODSIM,963,49
/BuToJPsiK_K2MuFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,756,674,756,674,2,AODSIM,610,56
/BuToJPsiK_K2MuPtEtaEtaFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7A-v2/AODSIM,1864,934,1864,934,20,AODSIM,1657,126
/BuToJPsiK_K2MuPtEtaEtaFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,6343,2132,6343,2132,8,AODSIM,2723,84
/BuToKstarJPsi_EtaPtFilter_7TeV-pythia6-evtgen/Fall11-HLTMuonia_PU_S6_START42_V14B-v1/AODSIM,562,500,562,500,2,AODSIM,110,21
/BuToKstarJPsi_EtaPtFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_RD2_START53_V19F-v1/AODSIM,7133,5274,7133,5274,4,AODSIM,8279,42
/BuToKstarPsi2S_EtaPtFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_RD2_START53_V19F-v1/AODSIM,414,265,414,265,2,AODSIM,456,42
/BuToMuMuK_EtaPtFilter_8TeV-pythia6-evtgen/Summer12_DR53X-PU_S10_START53_V7C-v1/AODSIM,243,204,243,204,4,AODSIM,153,7
/CIToEE_Con_Lambda-13_M-500_TuneZ2star_8TeV-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,2,1,2,1,3,AODSIM,8,49
/CIToEE_Con_Lambda-13_M-800_TuneZ2star_8TeV-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,2,1,2,1,4,AODSIM,8,56
/CIToEE_Des_Lambda-13_M-800_TuneZ2star_8TeV-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,2,1,2,1,3,AODSIM,8,49
/CItoMuNu_Lambda-14000_ptmin300-TuneZ2star_8TeV-pythia6/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM,70,22,70,22,2,AODSIM,33,7
